id,name,type,latitude,longitude,capacity,operating_hours,features
null,칭구차자포차 비산점,bar,36.12139,128.375051,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""실내포장마차""]}"
null,크라운호프 구미신평점,bar,36.122557,128.363229,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""호프,요리주점"", ""크라운호프""]}"
null,투다리 비산점,bar,36.12097,128.37469,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""오뎅바"", ""투다리""]}"
null,파리바게뜨 구미신평점,restaurant,36.120614,128.371956,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""제과,베이커리"", ""파리바게뜨""]}"
null,평양면옥 신평본점,restaurant,36.121194,128.362406,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""냉면""]}"
null,풍년식당,restaurant,36.120823,128.375909,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""]}"
null,프렌치쪽갈비 비산점,restaurant,36.120545,128.375775,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""갈비""]}"
null,피자스쿨 구미신비로점,restaurant,36.120656,128.372364,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""양식"", ""피자"", ""피자스쿨""]}"
null,픽미픽미아이스 구미신평점,restaurant,36.122053,128.363092,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""가정,생활"", ""식품판매"", ""아이스크림판매"", ""픽미픽미아이스""]}"
null,한우소고기국밥,restaurant,36.122457,128.364416,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국밥""]}"
null,한울타리,restaurant,36.120519,128.362534,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""]}"
null,행복쌀국수,restaurant,36.122282,128.364759,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""아시아음식"", ""동남아음식"", ""베트남음식""]}"
null,헐레불떡 신평점,fastfood,36.12216,128.362418,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식"", ""떡볶이""]}"
null,호식이두마리치킨 구미신평점,restaurant,36.123454,128.364501,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""호식이두마리치킨""]}"
null,호야네닭발 신평점,restaurant,36.12455,128.364767,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""닭요리""]}"
null,홍두깨칼국수 신평점,restaurant,36.121307,128.363586,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국수"", ""칼국수""]}"
